会社名,概要,郵便番号,住所,設立年度,資本金等,代表者,URL,売上,従業員数
株式会社ヒューマンズ・シップ・マネジメント ,株式会社ﾋｭｰﾏﾝｽﾞ･ｼｯﾌﾟ･ﾏﾈｼﾞﾒﾝﾄは福島県郡山市のｺﾝｻﾙﾃｨﾝｸﾞ会社である｡福島復興のため企業の成長と再生を第一として活動しており､基本的な顧客を金融機関のﾘｽｸｵﾝ先(要注意先以下)と設定し､助成金､補助金制度も提案しながら､｢難しい｣｢時間がない｣｢知らなかった｣を補完し､金融機関提出資料､財務改善､売上対策を含め企業の成長と再生をｻﾎﾟｰﾄしている｡, 〒 963-8034 , 福島県郡山市島2丁目8番30号 , 2019/8/23 ,-,三浦　直紀,https://humans-ship.co.jp/,-,-
ｃｈｉｌｌ　ｈａｉｒ ,chill hairは、郡山・開成山公園近くの美容室である。「1年後、今より美しい髪に。」をコンセプトに、「ヘッドスパ」を通じて顧客が抱える髪や頭皮、スタイルへの悩みに真摯に向き合い、顧客の理想に導く手伝いをしていく。他にも毛髪内部から表面まで数ステップに分けて丁寧に補修を行う「ヘアエステ」などのメニューもある。, 福島県郡山市開成3-9-3号モバマンション104 ,"", 2019/11 ,-,-,https://chill-hair.net/,-,-
株式会社ＡＲＴＫＲＡＦＴ ,株式会社ARTKRAFTは、車のリペア・内装補修、アルミホイール補修などを行う会社である。専門分野は車のシートの汚れや傷、アルミホイールの傷を素材に合わせて徹底補修する事と短時間でシートの汚れを徹底洗浄、除菌・抗菌する事である。高級車のためのプレミアムコーティングをはじめ、リーズナブルでありながらも高品質のコーティングも各種取り揃え、自慢の技術で客の要望に合わせた磨きを提供する。, 〒 963-0724 , 福島県郡山市田村町上行合字西川原33-3 , 2019/12 ,-,大内 康夫,https://artkraft.net/,-,-
サンズ株式会社 ,サンズ株式会社は、福島県郡山市にある新築建売の販売専門店である。郡山市をメインに、須賀川市、本宮市、岩瀬郡などの物件を複数取り扱っている。WEBサイトから、沿線・住所・地図・学区やエリア、駅、価格、面積、フリーワードで物件検索が可能で、来店予約も簡単に済ませることが出来る。, 〒 963-8846 , 福島県郡山市久留米6丁目73‐5 , 2020/2 ,-,長澤　智一,http://www.suns180.com/,-,-
株式会社アオキマネジメント ,株式会社アオキマネジメントは、経営計画やマネジメントを行う会社である。青木会計グループの一員として経営マネジメントを請け負っている。単、中、長期的な事業経営マネジメントや企業のあらゆるリスクに対するマネジメントも行う。また、資産運用やM&A、キャッシュフローおよび事業承継コンサルティングにも対応する。, 〒 963-0101 , 福島県郡山市安積町日出山3丁目71番地 , 1969/9 ,"10,000,000円",菅原　治,http://www.ac-aoki.net/index.html,-,-
エクセルツリー株式会社 ,エクセルツリー株式会社は、人材派遣を行う会社である。地域に密着し企業のニーズに合った人材の派遣を行い、きめ細かいアフターフォローも請け負っている。また、他業種で短期から長期における労務管理や工程管理、安全衛生管理などの業務請負も行う。求職者にはWebでの登録や求人情報の閲覧も提供しており、食品加工や工場、介護施設などの求人を紹介する。, 〒 963-8812 , 福島県郡山市島二丁目38番9号 , 2008/8/8 ,"25,000,000円",平石秀樹,http://exceltree.jp/, 3億～10億  , 101名～300名  
株式会社ＭＡソリューションズ ,株式会社MAソリューションズは、ソフトウェア開発、システムインテグレーション、情報システムに関わるコンサルティングなどを行っている。製造業生産管理・制御システムを構築してきたノウハウを活かし、高品質なソフトウェアをリーズナブルな価格および短納期で開発・提供している。また、高度で変化していく時代の中で製造業のIT化を進め、顧客と社会に貢献している。, 〒 963-8034 , 福島県郡山市島2-31-11 , 2003/8 ,"18,000,000円",町田 晃,http://ma-sol.com/index.html#top, 1億～3億  , 1～5名  
株式会社アイ・エム・ディ ,株式会社アイ・エム・ディは、マーケティング業務、SP支援業務、日本経済新聞社広告代理業務（他各メディア）などを行っている。顧客接点のマーケティング、メディアコンサルティング、企画広報、セールスプロモーション、WEBの活用による業務改革提案、流通・小売業なのコンサルティングなど、より効果的な販促の仕組みを提案している。関連会社は、株式会社ケンオリなど他多数。, 〒 963-0724 , 福島県郡山市田村町上行合字北川田26-3（ケンオリビル1階） , 2002/8 ,"20,000,000円",渡邉 利一,http://i-md.co.jp/, 1億～3億  , 1～5名  
エム・ティ・ケイ株式会社 ,エム・ティ・ケイ株式会社は、PTC床暖房ぽからの企画・販売を行う企業である。フローリングから畳まで様々な床に対応できる床暖房で、顧客のニーズに合ったプランを提案し数多くの実績を積み重ねている。また従来の床暖房と違い温度が上がった部分の発熱を抑え過昇温を防止する仕組みで、こもり熱の防止や省エネに役立っている。, 〒 963-8846 , 福島県郡山市久留米4丁目104番 , 2009/4 ,"30,000,000円",遠藤 隆志,http://www.mtk-web.jp/,-,-
株式会社三光設備 ,株式会社三光設備は、電力分野に関する製造業を主に行っている会社である。具体的な業務としては、電力分野・社会インフラ分野・産業分野における各種プラントなどの工事設計・計画業務等エンジニアリングを行っている。またそのほかにも、機器・材料調達、工事施工、試験調整までを一貫して展開している。海外分野では、香港支店を拠点とし、エンジニアリング及び施工面で数多くのプラント設備実績をもっている。, 〒 963-0205 , 東京都中央区銀座2-11-17 , /4 , 1931 ,"216,000,000円","", 100億～300億 , 101名～300名  
東日本カーボン株式会社 ,東日本カーボン株式会社は炭素製品の開発・販売を行う企業である。東日本唯一の炭素・黒鉛メーカーである。土状黒鉛、鱗状・鱗方状黒鉛、腎臓黒鉛、炭素同素体等の製品を取り扱っており、製品は電池・オイルシート・半導体・先端系等幅広い業界で使用されている。福島本社の他、東京に営業所を構える。関連会社に富士黒鉛工業株式会社がある。, 〒 963-0533 , 福島県郡山市日和田町八丁目字聖坊61番地 , 1969/8/8 , 1969 ,"40,000,000円","",-, 11名～30名  
富蔵建設株式会社 ,富蔵建設株式会社は、一般土木・宅地建物取引業・採石業等を行う会社である。また、一般産業廃棄物収集運搬業を担う。主な施工事例は、一般社団法人ヒューマニティー幼保学園新築工事や震災復興住宅11棟新築工事、麦の里改築工事、介護施設はなみず木新築工事等である。, 〒 963-8025 , 福島県郡山市桑野2丁目37-14 , 2013/1/11 ,"5,000,000円",鈴木 力男,http://www.tomikura-kensetu.com/index.html, 1億～3億  , 11名～30名  
株式会社東北村田製作所 ,株式会社東北村田製作所は電池事業を行う企業である。ラミネート型リチウムイオンポリマー電池、長寿命リチウムイオン電池等の設計・製造を行っている。また、ボタン・コイン型電池の無水銀化に世界で初めて成功している。福島本社の他、県内・栃木県に拠点を構えるほか、シンガポール等海外に関連生産拠点を持つ。「村田製作所」グループの一員である。, 〒 963-0531 , 福島県郡山市日和田町高倉字下杉下1番地の1 , 2017/9 ,"300,000,000円",有東 哲郎,https://www.murata.com/ja-jp/group/tohokumurata, 1000億〜  , 1001名以上  
東北健康福祉株式会社 ,東北健康福祉株式会社は児童発達支援・放課後等デイサービス施設「キッズサポートこおりやま」を運営する企業である。学校との連携・協働により、集団・個別共に充実した一貫性のある支援・療育を行う。スタッフ全員が看護師・介護福祉士等の医療・福祉の有資格者である。協力医療機関は一般財団法人脳神経疾患研究所附属総合南東北病院である。, 〒 963-8061 , 福島県郡山市富久山町福原字東17番地 , 2017/10/1 ,"3,000,000円",清水 一浩,https://www.tkf-kids.co.jp/,-, 6～10名  
東北アイスホッケークラブ株式会社 ,東北アイスホッケークラブ株式会社は、東北フリーブレイズの運営会社である。アイスホッケーのクラブチームを企業と市民によって支え、スポーツを通じた地域振興を目的としている。ホームタウンは福島県郡山市と青森県八戸市で、テクノルアイスパーク八戸がホームアリーナである。選手の育成のみならず。セカンドキャリアもバックアップする。, 〒 963-8024 , 福島県郡山市朝日3丁目7番35号 , - , 2008/10 ,-,"",-,-
有限会社フタバ装飾 ,有限会社フタバ装飾は、店舗装飾とイベント用品の会社である。オリジナル旗・のぼりを制作している。大売り出し・不動産用のぼり・飲食店用のぼりなどを取り扱っている。イベント用品では、くす玉・抽選器・はんてん・テープカット用品・パーティ用品などの商品がある。楽天市場、YAHOO!ショッピングでの販売も行なっている。, 〒 963-0001 , 福島県郡山市大町1丁目4番3号 , - ,-,渡辺健史,http://f-sight.com/futaba/,-,-
株式会社ビズネット ,有限会社ビズネットは、人材派遣と紹介予定派遣の会社である。福島県内の製造業・販売・オフィスワーク・介護などの職種に強みがある。スキルアップ研修や福利厚生でスタッフをサポートしている。雇用形態は、派遣社員・契約社員・正社員などがあり、デイサービスでの介護職・大手企業での事務職・製造業の検査業務などの実績がある。, 〒 963-8034 , 福島県郡山市島2丁目38番15号三杉ビル102 , /7/1 ,"38,000,000円",杉崎 尚弘,https://www.biz-net.co.jp/,-, 31名～100名 
株式会社ワールドネクスト ,株式会社ワールドインテック福島は、人材派遣事業を行っている会社である。同社は主に、東日本大震災において被災した方々に対し、絆づくり応援事業として、行政事務支援事業や仮設住宅入居者支援事業そして、線量測定業務・子育て支援事業などを行っている。それらを通じて、福島県の復興の為に雇用拡大を行い、貢献しているのが特徴である。, 〒 963-0107 , 福島県郡山市安積三丁目361番地 , 2012/3/16 ,"30,000,000円",本多 信二,http://witc-f.co.jp/, 10億～100億  , 6～10名  
株式会社ホンダカーズ福島 ,株式会社ホンダカーズ福島は自動車の販売・車検・修理等を行う会社である。トヨタ自動車株式会社のグループ会社の1つ。福島県内最大のHondaディーラーとして15店舗を運営。初めて同社を利用の場合、車検基本料金を30%割り引くサービスを提供。特定の機種を成約するとカーナビゲーションの割引やドライブレコーダーのプレゼント等を行う。, 〒 963-0115 , 福島県郡山市南2-2 , 1983/5 ,"220,000,000円",渡辺 広章,http://www.hondanet.co.jp/hondacars-fukushima/, 100億～300億 , 301名～1000名  
管理会計実践サポート株式会社 ,管理会計実践サポート株式会社は、管理会計・計画経営・儲かる経営で一生懸命が成果となって報われる経営のサポートを行う会社である。管理会計導入・実践サポート、経営指導業務、管理会計普及啓蒙業務、管理会計のための自計化推進支援業務などを行っている。, 〒 963-8877 , 福島県郡山市堂前町16-7 3F , 2019/4 ,-,関　洋一,https://kjs-seki.com/,-,-
株式会社ハナキグリーンセンター ,株式会社ハナキグリーンセンターは、土木工事業、装工事業 とび・土工工事業しゅんせつ工事業、水道施設工事業、郡山市下水道工事認可などの事業を行っている。道路緑化・公園整備・植栽に関しても単なる修景施設として存在するだけでなく、時代の経過とともに景観の調和や自然生態系の構成要素として注目されており、CO２削減活動・温暖化防止に取り組み、貢献し住み良い環境作りに努力している。, 〒 963-0725 , 福島県郡山市田村町金屋字新家4番地 , 2019/4 , 1978 ,-,"",-,-
株式会社ファインドメディカル ,株式会社ﾌｧｲﾝﾄﾞﾒﾃﾞｨｶﾙは｢がん予防ﾒﾃﾞｨｶﾙｸﾗﾌﾞまも~る｣の正規代理を行う会社である｡｢がん予防ﾒﾃﾞｨｶﾙｸﾗﾌﾞまも~る｣は誰もが平等にがんを早期発見できることを目的としたｻｰﾋﾞｽであり､がんﾄﾞｯｸ受診やﾄﾞｸﾀｰ相談､ｾｶﾝﾄﾞｵﾋﾟﾆｵﾝ等のｻｰﾋﾞｽを受けることができる｡, 〒 963-0117 , 福島県郡山市安積町荒井3丁目5番地 , 2019/10 ,-,川島 秀洋,https://find-medical.jp/,-,-
株式会社東北ナヴィスソリューション ,株式会社東北ﾅｳﾞｨｽｿﾘｭｰｼｮﾝは､防犯ｶﾒﾗ販売･ｽﾏﾎ決済ｻｰﾋﾞｽ販売を行っている会社である｡また､ﾎｰﾑﾍﾟｰｼﾞ販売及び制作･ｸﾞﾙﾒﾎﾟｰﾀﾙｻｲﾄ販売及び制作･ﾌﾘｰWIFI販売等幅広く展開している｡主要取引先に､株式会社ｱﾌﾟﾗｽ･株式会社OUGIYA･ｸﾘｱﾗｲﾌ株式会社などがある｡, 〒 963-8846 , 福島県郡山市久留米2丁目43-1 アメニティー1 201 , 2019/9/26 ,"2,000,000円",小森 龍成,https://tohoku-ns.co.jp/,-,-
合同会社みんなの健康 ,合同会社みんなの健康は健康食品の会員販売を行う会社である。主にAHCCなどを医療機関に販売しており、特に免疫関係の商品を扱っている。主な取扱い商品はファストザイムQ10、酵素完熟EX、黄金の風、ピュアラクティス、ルンブルの秘密、モモルディシンの奇跡、フェルゴッド、フェルゴッドEXなど。, 〒 963-0201 , 福島県郡山市大槻町字小山田75-3 サニーIII・ 101 , /9/13 ,-,山口 耕司,http://minken-japan.com/,-,-
株式会社ケンエー ,株式会社ケンエーは、静電気除去対策製品を製造・販売する会社である。静電気除去ブラシや静電気除去シートなどの静電気除去対策製品を製造・販売している。また、導電性繊維（ステンレス繊維・サンダーロンなど）、防湿袋、電磁波シールド（SSガスケットなど）などの製造も行っている。主要取引先は、京セラミタ株式会社等である。, 〒 111-0051 , 福島県郡山市田村町金屋下タ川原167-9 (郡山中央工業団地) , 1977/3/3 ,"10,000,000円",酒井 健,http://www.kenei-grp.com/, 3億～10億  , 6～10名  
矢田工業株式会社 ,矢田工業株式会社は、鋼構造物の調査・設計・製作・現場施工事業を行う。創業以来常に時代を先取りする技術力・提案力・総合力を追求し、橋梁・水門・水管橋・鉄塔・鉄骨などの鋼構造物の専門分野で、数多くの施工実績を積んでいる。とりわけ橋梁に関しては、自社売上の95%を占め、最も得意な分野としている。, 〒 963-0921 , 福島県郡山市西田町鬼生田字阿広木1番 , 1960/12 , 1949 ,"80,720,000円","", ～1億  , 1～5名  
株式会社トラスト・エンタープライズ ,警備会社向けに経営コンサルティングを行う会社, 〒 104-0033 , 福島県郡山市堂前町6-1 エム・エフ・ティビル , 2005/12 ,"10,000,000円",天間 惠美子,http://www.trustenterprise.co.jp/index.html, ～1億  , 1～5名  
株式会社アサカ商事 ,非鉄金属スクラップの回収や卸売を行う会社, 〒 351-0001 , 福島県郡山市安積町日出山3-11 , 1977/2 ,"10,000,000円",佐藤 栄二,"",-,-
有限会社ガレージコバヤシ ,米国車や中古車などの販売を行う会社, 〒 444-0004 , 福島県郡山市田村町金屋川久保94 , 1977/9 ,"3,000,000円",小林 八郎,https://ja-jp.facebook.com/pg/garekoba.okazaki/about/?ref=page_internal, ～1億  , 1～5名  
株式会社ナルコ郡山 ,株式会社ナルコ郡山はアルミハニカムパネル・ハニカムコア、溶接技術、組立加工を行う会社。超高層ビルのカーテンウォールやアーバンファニチャーなどを中心としたアルミハニカムを一貫生産している。また溶接構造物や各種アルミ加工製品の豊富な製造ノウハウに基づき、顧客にきめ細やかな技術サービスを提供している。, 〒 963-0215 , 福島県郡山市待池台1-22郡山西部第二工業団地内 , 1991/9 ,"100,000,000円",喜田 靖,http://kry.nalcoiwai.co.jp/index.html, 10億～100億  , 31名～100名 
合名会社マシマロ・ウェブ・クリエーション ,Webコンテンツの企画および編集などを行う会社, 〒 963-8025 , 福島県郡山市桑野5-3-4 国栄ビル101 , 2010/10 , 2009 ,"3,000,000円","", ～1億  , 1～5名  
福島スポーツエンタテインメント株式会社 ,プロバスケットボールチーム「福島ファイヤーボンズ」の運営を行う会社, 〒 963-8877 , 福島県郡山市堂前町1-2 石井ビル1階 , 2013/5 ,"49,100,000円",宮田 英治,https://firebonds.jp/, 1億～3億  , 1～5名  
有限会社共栄酒井保険事務所 ,生命保険および損害保険の販売を行う会社, 〒 963-8026 , 福島県郡山市並木5-10-6 , 1993/5 ,"3,000,000円",酒井 達也,"", ～1億  ,-
株式会社クルーズ ,株式会社クルーズは、自動車整備事業を行っている会社である。同社の主な事業内容として、車の内装および、外装の修理業務・車内または、椅子および、ソファーのクリーニング業務そして、椅子・ソファーの貼り替え業務が挙げられる。最新のシートクリーニング機械を導入することで、シートクリーニング全般を行うことが可能なのが強みである。, 〒 963-8834 , 福島県郡山市図景2-13-15 , 2013/6 ,"3,000,000円",古川 剛,http://tr-crews.com, ～1億  , 6～10名  
株式会社福島飼料 ,飼料の販売を行う会社, 〒 963-8833 , 福島県郡山市香久池1丁目5番11号 , 2009/10 ,"300,000円",遠藤 哲也,"", 1億～3億  ,-
株式会社一力旅館 ,株式会社一力旅館は、旅館の運営を行う会社である。1918年創業の『磐梯熱海温泉一力旅館』は、アルカリ性単純泉で神経痛・筋肉痛・関節痛に効能を持つと言われる泉質の温泉施設を持つ。150名まで収容可能な180畳の大宴会場と中小宴会場と洋式にも対応できる結婚式場がある。福島の地酒や食材を使用した料理を提供している。, 〒 963-1309 , 福島県郡山市熱海町熱海4丁目161番地 , - ,"10,000,000円",小口憲太朗,http://www.ichiriki.com/,-, 31名～100名 
郡山観光交通株式会社 ,郡山観光交通株式会社はタクシー・観光バス事業を行う企業である。福島県の観光地巡り、体験、学習等の観光貸切タクシー、貸し切りバス・日帰りバスツアーの開催等のサービスを提供している。大型・中型・小型観光バス・マイクロバス、ジャンボハイヤー・福祉車両等豊富な車種を所有している。山口タクシーグループの一員である。, 〒 963-0105 , 福島県郡山市安積町長久保1-2-7 , 1967/2/22 , 1955/10/12 ,"20,000,000円","", 3億～10億  , 101名～300名  
株式会社カーリーズバーリー ,株式会社カーリーズバーリーは化粧品の企画開発・販売を行う企業である。サロン専売ブランド「e.o.b」、「結」、「ZIZANIA」等のブランドを展開しているほか、糖鎖栄養食品「ウェルミューン糖鎖」、医療用物質生成器「滝風イオンメディック」等の販売も行っている。また、旅館・ホテルのアメニティ化粧品の提供も行っている。主要取引先は美容業界・理美容サロン等である。, 〒 963-8006 , 福島県郡山市赤木町9-21 , 1992/12 , 1978/3 ,"10,000,000円","", ～1億  , 1～5名  
株式会社　オール・セインツ ,株式会社オール・セインツは結婚式場「オール・セインツウエディング」を運営する企業である。イギリスのリバプール・ネルソンロードの独立型教会の調度品を受け継いだチャペル、ゲストハウス、マナーハウス等の設備を備える。ウェディングドレス・カラードレスのレンタルも行っている。期間限定、少人数、マタニティ、二次会等、豊富なプランがある。, 〒 963-8811 , 福島県郡山市方八町2丁目2番11号 , 2003/7 ,"10,000,000円",黒崎 正壽,http://www.all-saints.jp/, 3億～10億  , 11名～30名  
郡伸工業株式会社 ,郡伸工業株式会社はとび・土工・土木工事を行う企業である。河川・トンネル・土地造成・下水道管埋没工事等の工事に対応している。, 〒 963-8061 , 福島県郡山市富久山町福原字中之内25-1 , 2013/5 ,"50,000,000円",鈴木秀吉,https://www.kensetumap.com/company/97288/profile.php,-, 31名～100名 
株式会社組木 ,株式会社組木は店舗・住宅デザイン、施工を行う企業である。また、特注家具・什器の制作、看板工事なども行っており、デザイン・機能性に優れた空間のトータルプランニングを提供している。自社工場での制作を行うことで、途中変更・ローコストへの対応を可能にしている。住宅・店舗・事務所・ホテル・遊具等の施工実績を持つ。, 〒 963-8071 , 福島県郡山市富久山町久保田字本木12-1 , 2015/3/19 ,-,矢崎勝之,http://kumiki-jp.com/,-,-
グローバルシェア株式会社 ,グローバルシェア株式会社は陸送・自走回送サービスを行う企業である。建機リース会社専門にサービスを提供している。福島本社の他、青森県・長野県・東京都等1都13件に営業所を展開している。主要取引先は株式会社アクティオ、株式会社カナモト等である。提携パートナーに株式会社日本パートナー会計事務所・日本パートナー行政書士法人等がある。, 〒 963-8047 , 福島県郡山市富田東5-14  GS郡山富田駅前本社ビル1F , 1986/2 ,"10,000,000円",三宅 秀一郎,https://www.global-share.jp/, 3億～10億  , 101名～300名  
福島エナジー株式会社 ,福島エナジー株式会社は、福島県に於いて電気事業を行っている会社である。全国展開している株式会社ハルエネと協力して、地域創生プラン「福島でんき」を提供している。大きく分けて、シンプルプランプラス・ビジネスプランプラス・動力プランプラスの3プランがあり、それぞれさらに細かなプランが用意されている。域活性化の為、地元のさまざまな団体に収益の一部を寄付している。, 福島県郡山市富久山町久保下河原191-1 ,"", 2020/11 , 2020/11/2 ,"7,000,000円","",-,-
ＮＰＯ法人サーチドッグふくしま ,NPO法人サーチドッグふくしまは、災害救助犬を活用し災害時・平時の行方不明者の捜索を行う団体である。全国で災害救助犬活動を行っていた福島県在住のサーチドッグ活動家が福島県内での迅速な連携・捜索活動のため設立した。災害救助犬であるサーチドッグの訓練・育成・認定や防災訓練といった市民参加の催事等を行っている。, 福島県郡山市備前舘1丁目115番地 ,"", 2020/11 ,-,-,https://www.k9-fukushima.com/,-,-
